Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly) 
 08/14  15:00:00,0.64020142107,0.158298560259,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.17110760444,0.352756555603
 08/14  16:00:00,0.766296437706,0.167848135265,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.226732667701,0.41724918
 08/14  17:00:00,0.978172207484,0.181082836215,0.0,0.0,0.0,0.0,0.0,0.107910501605,0.0235907332925,0.319079902546,0.506891070041
 08/14  18:00:00,1.09667753369,0.191755849769,0.0,0.0,0.0,0.0,0.0,0.181485811428,0.0396753210423,0.274485690517,0.550330710699
 08/14  19:00:00,1.20940001986,0.20297414802,0.0,0.0,0.0,0.0,0.0,0.353161661669,0.077206025,0.190282821696,0.568049511493
 08/14  20:00:00,1.49521722324,0.212694010948,0.0,0.0,0.0,0.0,0.0,0.603317729756,0.131893641879,0.151727554294,0.587578297315
 08/14  21:00:00,1.67363620032,0.221144920878,0.0,0.0,0.0,0.0,0.0,0.774993579996,0.169424345836,0.134657758435,0.573860516055
 08/14  22:00:00,1.33982316062,0.223343093091,0.0,0.0,0.0,0.0,0.0,0.578792670031,0.126532122923,0.117195633569,0.496602734096
 08/14  23:00:00,1.04635404341,0.224086037708,0.0,0.0,0.0,0.0,0.0,0.402211889784,0.0879290866673,0.103974531478,0.431538535479
 08/14  24:00:00,0.724546941805,0.22194609769,0.0,0.0,0.0,0.0,0.0,0.206010979818,0.0450368637538,0.0958509983557,0.356948099877
 08/15  01:00:00,0.592785403911,0.223063964193,0.0,0.0,0.0,0.0,0.0,0.122625515956,0.0268076422904,0.0939970696368,0.328655176027
 08/15  02:00:00,0.5342472334,0.225004906697,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.0870879621612,0.324844681233
 08/15  03:00:00,0.527238663539,0.229322121529,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.0846519860538,0.320272087479
 08/15  04:00:00,0.518988311925,0.232511494386,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.0884999554121,0.308173766507
 08/15  05:00:00,0.565751424607,0.238358894059,0.0,0.0,0.0,0.0,0.0,0.0882904103584,0.0193015086256,0.0935623504171,0.343897155205
 08/15  06:00:00,0.708297963568,0.244314046665,0.0,0.0,0.0,0.0,0.0,0.142245650669,0.0310968764596,0.116916091742,0.397339344699
 08/15  07:00:00,0.931807609148,0.245160130344,0.0,0.0,0.0,0.0,0.0,0.250156174256,0.0546876168788,0.14656099478,0.422202823233
 08/15  08:00:00,0.770197020201,0.23624491441,0.0,0.0,0.0,0.0,0.0,0.196200912462,0.0428922466692,0.153455761193,0.356948099877
 08/15  09:00:00,0.601777448614,0.22520497582,0.0,0.0,0.0,0.0,0.0,0.0981004559815,0.021446120959,0.15773917418,0.303791697493
 08/15  10:00:00,0.57383463104,0.213825959253,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.14656099478,0.310936375233
 08/15  11:00:00,0.584069024482,0.202594702107,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.156700125852,0.311031637603
 08/15  12:00:00,0.593237072728,0.191622004984,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.17110760444,0.30579220726
 08/15  13:00:00,0.588595328643,0.180574994944,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.155891737301,0.316366330315
 08/15  14:00:00,0.602161877194,0.172826185106,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.151644222687,0.334180393479
 08/15  15:00:00,0.64020142107,0.172845776358,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.17110760444,0.352756555603
 08/15  16:00:00,0.766296437706,0.17880342244,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.226732667701,0.41724918
 08/15  17:00:00,0.978172207484,0.189067029615,0.0,0.0,0.0,0.0,0.0,0.107910501605,0.0235907332925,0.319079902546,0.506891070041
 08/15  18:00:00,1.09667753369,0.198637233064,0.0,0.0,0.0,0.0,0.0,0.181485811428,0.0396753210423,0.274485690517,0.550330710699
 08/15  19:00:00,1.20940001986,0.207887581182,0.0,0.0,0.0,0.0,0.0,0.353161661669,0.077206025,0.190282821696,0.568049511493
 08/15  20:00:00,1.49521722324,0.216026596141,0.0,0.0,0.0,0.0,0.0,0.603317729756,0.131893641879,0.151727554294,0.587578297315
 08/15  21:00:00,1.67363620032,0.222351294382,0.0,0.0,0.0,0.0,0.0,0.774993579996,0.169424345836,0.134657758435,0.573860516055
 08/15  22:00:00,1.33982316062,0.224837647532,0.0,0.0,0.0,0.0,0.0,0.578792670031,0.126532122923,0.117195633569,0.496602734096
 08/15  23:00:00,1.04635404341,0.226114765062,0.0,0.0,0.0,0.0,0.0,0.402211889784,0.0879290866673,0.103974531478,0.431538535479
 08/15  24:00:00,0.724546941805,0.22572216176,0.0,0.0,0.0,0.0,0.0,0.206010979818,0.0450368637538,0.0958509983557,0.356948099877
 08/16  01:00:00,0.592785403911,0.226376079297,0.0,0.0,0.0,0.0,0.0,0.122625515956,0.0268076422904,0.0939970696368,0.328655176027
 08/16  02:00:00,0.5342472334,0.231103011411,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.0870879621612,0.324844681233
 08/16  03:00:00,0.527238663539,0.233041888735,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.0846519860538,0.320272087479
 08/16  04:00:00,0.518988311925,0.234635781677,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.0884999554121,0.308173766507
 08/16  05:00:00,0.565751424607,0.239277237285,0.0,0.0,0.0,0.0,0.0,0.0882904103584,0.0193015086256,0.0935623504171,0.343897155205
 08/16  06:00:00,0.717564621566,0.588924580052,0.0,0.346087562844,0.00926665799802,0.00926665799802,0.00926665799802,0.142245650669,0.0310968764596,0.116916091742,0.397339344699
 08/16  07:00:00,0.940173437159,0.556344454061,0.0,0.31244371254,0.00836582801169,0.00836582801169,0.00836582801169,0.250156174256,0.0546876168788,0.14656099478,0.422202823233
 08/16  08:00:00,0.784679792264,0.779531142183,0.0,0.540896975752,0.0144827720629,0.0144827720629,0.0144827720629,0.196200912462,0.0428922466692,0.153455761193,0.356948099877
 08/16  09:00:00,0.614529936187,0.707746866608,0.0,0.476274979126,0.0127524875737,0.0127524875737,0.0127524875737,0.0981004559815,0.021446120959,0.15773917418,0.303791697493
 08/16  10:00:00,0.593379619334,0.956657368913,0.0,0.729958671832,0.0195449882942,0.0195449882942,0.0195449882942,0.0784803647353,0.0171568962921,0.14656099478,0.310936375233
 08/16  11:00:00,0.589721855195,0.434187010337,0.0,0.211119737557,0.00565283071283,0.00565283071283,0.00565283071283,0.0784803647353,0.0171568962921,0.156700125852,0.311031637603
 08/16  12:00:00,0.593337828116,0.2209046184,0.0,0.00376297331808,0.000100755388341,0.000100755388341,0.000100755388341,0.0784803647353,0.0171568962921,0.17110760444,0.30579220726
 08/16  13:00:00,0.588595328643,0.211242025412,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.155891737301,0.316366330315
 08/16  14:00:00,0.602161877194,0.210450574777,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.151644222687,0.334180393479
 08/16  15:00:00,0.64020142107,0.210403888736,0.0,0.0,0.0,0.0,0.0,0.0784803647353,0.0171568962921,0.17110760444,0.352756555603
 08/16  16:00:00,0.766296437706,0.212873736382,0.0,0.0,0.0,0.0,0.0,0.0833853875468,0.0182292024588,0.226732667701,0.41724918
 08/16  17:00:00,0.978172207484,0.22264563481,0.0,0.0,0.0,0.0,0.0,0.107910501605,0.0235907332925,0.319079902546,0.506891070041
 08/16  18:00:00,1.09667753369,0.232097308608,0.0,0.0,0.0,0.0,0.0,0.181485811428,0.0396753210423,0.274485690517,0.550330710699
 08/16  19:00:00,1.20940001986,0.237038106648,0.0,0.0,0.0,0.0,0.0,0.353161661669,0.077206025,0.190282821696,0.568049511493
 08/16  20:00:00,1.49521722324,0.244618780903,0.0,0.0,0.0,0.0,0.0,0.603317729756,0.131893641879,0.151727554294,0.587578297315
 08/16  21:00:00,1.67363620032,0.248431096264,0.0,0.0,0.0,0.0,0.0,0.774993579996,0.169424345836,0.134657758435,0.573860516055
 08/16  22:00:00,1.34819341765,0.5600752962,0.0,0.312609125799,0.00837025702986,0.00837025702986,0.00837025702986,0.578792670031,0.126532122923,0.117195633569,0.496602734096
 08/16  23:00:00,1.06882285886,1.08443609423,0.0,0.839156639028,0.0224688154545,0.0224688154545,0.0224688154545,0.402211889784,0.0879290866673,0.103974531478,0.431538535479
 08/16  24:00:00,0.764328559736,1.72992985754,0.0,1.48574849733,0.0397816179314,0.0397816179314,0.0397816179314,0.206010979818,0.0450368637538,0.0958509983557,0.356948099877
 08/17  01:00:00,0.644037006034,2.15677790986,0.0,1.91412503563,0.0512516021231,0.0512516021231,0.0512516021231,0.122625515956,0.0268076422904,0.0939970696368,0.328655176027
 08/17  02:00:00,0.598177084234,2.63139413723,0.0,2.38762737038,0.0639298508338,0.0639298508338,0.0639298508338,0.0833853875468,0.0182292024588,0.0870879621612,0.324844681233
 08/17  03:00:00,0.602663665432,3.06133335565,0.0,2.81694383112,0.075425001893,0.075425001893,0.075425001893,0.0833853875468,0.0182292024588,0.0846519860538,0.320272087479
 08/17  04:00:00,0.600931478392,3.30553520724,0.0,3.06038172344,0.0819431664676,0.0819431664676,0.0819431664676,0.0833853875468,0.0182292024588,0.0884999554121,0.308173766507
 08/17  05:00:00,0.654061141891,3.54709887441,0.0,3.29815720368,0.088309717284,0.088309717284,0.088309717284,0.0882904103584,0.0193015086256,0.0935623504171,0.343897155205
 08/17  06:00:00,0.796919701074,3.56390978569,0.0,3.30981041437,0.0886217375055,0.0886217375055,0.0886217375055,0.142245650669,0.0310968764596,0.116916091742,0.397339344699
 08/17  07:00:00,1.03341462833,4.05173158939,0.0,3.79477969758,0.101607019178,0.101607019178,0.101607019178,0.250156174256,0.0546876168788,0.14656099478,0.422202823233
 08/17  08:00:00,0.851598684421,3.291484212,0.0,3.0401579067,0.08140166422,0.08140166422,0.08140166422,0.196200912462,0.0428922466692,0.153455761193,0.356948099877
 08/17  09:00:00,0.670725318508,2.81903232645,0.0,2.57503840761,0.0689478698947,0.0689478698947,0.0689478698947,0.0981004559815,0.021446120959,0.15773917418,0.303791697493
 08/17  10:00:00,0.636672524032,2.58643151536,0.0,2.34684535078,0.0628378929922,0.0628378929922,0.0628378929922,0.0784803647353,0.0171568962921,0.14656099478,0.310936375233
 08/17  11:00:00,0.616888666883,1.45374761319,0.0,1.22573532488,0.0328196424003,0.0328196424003,0.0328196424003,0.0784803647353,0.0171568962921,0.156700125852,0.311031637603
