Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Electricity [kW](Hourly) 
 07/25  22:00:00,1.02638141866,0.0494009151078,0.0,0.0,0.220208170063,0.0450739061022,0.265282076165,0.0450739061022,0.163489377478,0.0293725257228,0.0614210901515,0.332142024625,0.164144324513
 07/25  23:00:00,0.803605592752,0.0379495643543,0.0,0.0,0.164752777559,0.0343100944786,0.199062872037,0.0343100944786,0.113090388878,0.0203178359816,0.0541379207009,0.288625239123,0.117841336031
 07/25  24:00:00,0.567514901248,0.028487820338,0.0,0.0,0.110342252205,0.0233435991231,0.133685851328,0.0233435991231,0.0590036798269,0.010600609839,0.0489514853892,0.23873703554,0.0660062393252
 07/26  01:00:00,0.361360631471,0.0271877149886,0.0,0.0,0.0,0.0,0.0,0.0,0.0356480762724,0.0064045386522,0.0464782485222,0.219813923836,0.0424858441881
 07/26  02:00:00,0.337045995192,0.0209613290426,0.0,0.0,0.0,0.0,0.0,0.0,0.023355624918,0.00419607502493,0.044397178009,0.217265356603,0.0373017606374
 07/26  03:00:00,0.334876383246,0.0207512110063,0.0,0.0,0.0,0.0,0.0,0.0,0.023355624918,0.00419607502493,0.0428550345291,0.214207075923,0.039732572851
 07/26  04:00:00,0.346286119272,0.0262465612845,0.0,0.0,0.0,0.0,0.0,0.0,0.023355624918,0.00419607502493,0.0430667126311,0.206115374959,0.0590223317391
 07/26  05:00:00,0.46027132364,0.0339223019926,0.0,0.0,0.0,0.0,0.0,0.0,0.0245848691378,0.00441692122316,0.0450130823982,0.230008192767,0.145718258113
 07/26  06:00:00,0.674580335355,0.0605661128387,0.0,0.0,0.0,0.0,0.0,0.0,0.0344188259487,0.00618369135735,0.0513853908189,0.265751848208,0.306310579022
 07/26  07:00:00,0.776576884017,0.091930879508,0.0,0.0,0.0,0.0,0.0,0.0,0.0565452096987,0.0101589207324,0.0600662275823,0.282381249403,0.3418952766
 07/26  08:00:00,0.686600516356,0.094966513582,0.0,0.0,0.0,0.0,0.0,0.0,0.0430235171763,0.00772961145515,0.0677603352404,0.23873703554,0.318820016944
 07/26  09:00:00,0.5891787241,0.0961649203796,0.0,0.0,0.000235706733493,4.68650029443e-05,0.000282571736437,4.68650029443e-05,0.023355624918,0.00419607502493,0.0707997812925,0.203184522641,0.276830148487
 07/26  10:00:00,0.590522233202,0.0868180072923,0.0,0.0,0.0393791974528,0.00767317720667,0.0470523746594,0.00767317720667,0.0196678983622,0.00353353752684,0.0667720704517,0.207963086203,0.235003265999
