Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly),Electricity:Facility [kW](Monthly)
 01/01  01:00:00,17.0018377309,1.28995898755,0.0,0.0,2.55330491699,7.80157382632,23.6599504954,22.1868107453,1.47313975017
 01/01  02:00:00,16.5624004007,1.43924627326,0.0,0.0,2.55330491699,7.21284921042,25.645829482,24.7667596069,0.879069875086
 01/01  03:00:00,16.3750270031,1.54623518368,0.0,0.0,2.55330491699,6.91848690247,27.0431545217,26.6096370529,0.433517468771
 01/01  04:00:00,16.3119549461,1.63034428056,0.0,0.0,2.55330491699,6.7713057485,28.4846610591,28.0511435904,0.433517468771
 01/01  05:00:00,18.3963159377,1.63821182449,0.0,0.0,3.82705111198,7.57405300124,29.0548801671,28.175810292,0.879069875086
 01/01  06:00:00,22.8986921045,1.60197552929,0.0,0.0,6.02426329834,9.91545327661,31.8074650959,27.512493439,4.29497165683
 01/01  07:00:00,28.0783953982,1.46342774295,0.0,0.0,6.51253267309,14.7454349813,39.3118786415,25.066236577,14.2456420645
 01/01  08:00:00,27.2017157829,1.43247818816,0.0,0.0,6.01364874671,17.9699221805,39.6466358465,24.5098889694,15.1367468771
 01/01  09:00:00,23.3753019174,1.59036574441,0.0,0.0,3.66783283761,18.1171033345,41.8213571299,27.2786801278,14.5426770021
 01/01  10:00:00,20.5838489554,1.62254462298,0.0,0.0,3.10526160149,15.8560427302,40.6226949901,27.8622276133,12.7604673768
 01/01  11:00:00,17.5808895142,1.53621188483,0.0,0.0,3.10526160149,12.9394160272,37.98164216,26.4093145333,11.5723276266
 01/01  12:00:00,17.6578758329,1.4660170497,0.0,0.0,3.10526160149,13.0865971812,34.5750957133,25.2305301182,9.34456559506
 01/01  13:00:00,17.3915401424,1.34686251322,0.0,0.0,3.10526160149,12.9394160272,31.3587159918,23.2022901469,8.15642584489
 01/01  14:00:00,16.8828088338,1.27967466662,0.0,0.0,3.10526160149,12.4978725653,29.3269365925,22.0616155602,7.26532103226
 01/01  15:00:00,16.6901175789,1.23416456574,0.0,0.0,3.10526160149,12.3506914113,27.6507766006,21.2765603809,6.37421621963
 01/01  16:00:00,17.9868488383,1.16588637181,0.0,0.0,4.02872759285,12.7922348732,27.3498110604,20.0844900282,7.26532103226
 01/01  17:00:00,27.0866748981,1.02969237757,0.0,0.0,6.50191812146,17.7693977319,26.1449032382,17.6914424558,8.45346078243
 01/01  18:00:00,37.6356110018,0.776654672454,0.0,0.0,8.38069375907,23.1212625696,24.4524568725,13.3256816522,11.1267752203
 01/01  19:00:00,39.7120004004,0.592144574881,0.0,0.0,10.6415932552,23.1212625696,23.4092747204,10.3517724061,13.0575023143
 01/01  20:00:00,38.7637864993,0.613208651981,0.0,0.0,12.3080778603,20.4854999863,23.158492631,10.6950601917,12.4634324393
 01/01  21:00:00,38.3599688031,0.649511848982,0.0,0.0,12.456681583,19.8967753704,22.714970803,11.2911606451,11.4238101579
 01/01  22:00:00,32.9392687932,0.692312861028,0.0,0.0,9.18739968257,17.702556249,21.3415482968,11.9969827017,9.34456559506
 01/01  23:00:00,26.1586904471,0.847047076607,0.0,0.0,5.91811778209,14.0365255879,22.6697235999,14.5132977551,8.15642584489
 01/01  24:00:00,20.44678005,1.03164575089,0.0,0.0,3.54045821811,10.5176760807,22.2663668705,17.6743602761,4.59200659437
 01/02  01:00:00,16.9218690364,1.20999029299,0.0,0.0,2.55330491699,7.80157382632,22.2737346023,20.8001752732,1.47355932906
 01/02  02:00:00,16.4505893135,1.32743518601,0.0,0.0,2.55330491699,7.21284921042,23.7174959327,22.8381586236,0.879337309061
 01/02  03:00:00,16.2253586191,1.39656679961,0.0,0.0,2.55330491699,6.91848690247,24.478619828,24.045030862,0.433588966004
 01/02  04:00:00,16.1810160862,1.49940542074,0.0,0.0,2.55330491699,6.7713057485,26.2412785677,25.8076879508,0.433590616841
 01/02  05:00:00,18.4045513878,1.64644727458,0.0,0.0,3.82705111198,7.57405300124,29.189597834,28.3102206303,0.879377203666
 01/02  06:00:00,22.966231259,1.66951468384,0.0,0.0,6.02426329834,9.91545327661,32.9604346938,28.6630304776,4.29740421624
 01/02  07:00:00,27.9962019029,1.38123424767,0.0,0.0,6.51253267309,14.7454349813,37.9275143649,23.6724573924,14.2550569725
 01/02  08:00:00,27.1707694484,1.20800249117,0.0,0.0,6.01364874671,18.163451543,35.8432160625,20.6963702513,15.1468458112
 01/02  09:00:00,24.8220029867,1.59065324502,0.0,0.0,4.35151303671,18.8798367041,38.3073933146,23.7550210012,14.5523723134
 01/02  10:00:00,22.0023755616,1.59465766046,0.0,0.0,3.78894180059,16.6187760998,36.3074202183,23.5384694431,12.7689507752
 01/02  11:00:00,18.921205079,1.43011388091,0.0,0.0,3.78894180059,13.7021493968,32.3181177189,20.7381146366,11.5800030823
 01/02  12:00:00,18.9036802225,1.26540787058,0.0,0.0,3.78894180059,13.8493305508,27.2911688482,17.94044269,9.35072615816
 01/02  13:00:00,18.4667068043,1.13887567052,0.0,0.0,3.69398621738,13.6338449159,23.9535204089,15.7917419436,8.16177846529
 01/02  14:00:00,18.0917625519,1.04221481604,0.0,0.0,3.78894180059,13.2606059349,21.4163095295,14.1462418339,7.27006769563
