Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 03/07  14:00:00,1333.00021094,101.034296342,445.626169472,0.0,243.2593065,302.612436532,433.965207137,332.802311519,56.6466996096,44.5161960087
 03/07  15:00:00,1326.92049087,102.089058801,437.566190644,0.0,243.2593065,302.612436532,393.963333999,315.94522833,42.4850247072,35.5330809627
 03/07  16:00:00,1327.43348272,103.09836847,437.044574051,0.0,243.2593065,302.612436532,400.001912322,307.885054982,56.6466996096,35.4701577298
 03/07  17:00:00,1329.18052401,103.698275854,430.964769012,0.0,243.2593065,310.10971186,421.779361284,310.321017542,84.9700494144,26.4882943285
 03/07  18:00:00,1333.51705535,103.697580579,431.183625505,0.0,243.2593065,310.10971186,431.8892425,329.426349471,84.9700494144,17.4928436141
 03/07  19:00:00,1101.42930951,94.7511820199,463.954430936,0.0,166.938926447,199.110933808,439.564885762,337.154957403,84.9700494144,17.4398789442
 03/07  20:00:00,1115.55536018,94.7511820199,487.387798233,0.0,166.938926447,191.61365848,426.026840234,351.942764509,56.6466996096,17.437376115
 03/07  21:00:00,1001.46295903,94.7511820199,510.159136827,0.0,100.150657288,124.558693486,474.713318467,400.631637994,56.6466996096,17.4349808637
 03/07  22:00:00,952.552280579,94.7511820199,502.763480642,0.0,100.150657288,124.558693486,462.135669522,410.942110402,42.4850247072,8.70853441297
 03/07  23:00:00,879.538363646,94.7511820199,497.375184397,0.0,46.0930336215,124.558693486,476.224158748,430.508635369,28.3233498048,17.3921735744
 03/07  24:00:00,877.213072221,94.7511820199,494.674574203,0.0,46.0930336215,124.558693486,459.981318798,437.1135186,14.1616749024,8.70612529494
 03/08  01:00:00,861.069724156,94.7511820199,491.655959366,0.0,46.0930336215,113.312780494,465.192769739,442.135771169,5.66466996096,17.3923286086
 03/08  02:00:00,858.058106965,94.7511820199,489.234376026,0.0,46.0930336215,113.312780494,461.299706037,446.928857536,5.66466996096,8.70617853964
 03/08  03:00:00,851.86390293,94.7511820199,483.505610063,0.0,46.0930336215,113.312780494,474.047679727,450.993170998,5.66466996096,17.3898387679
 03/08  04:00:00,831.531322197,94.7511820199,463.575783199,0.0,46.0930336215,113.312780494,470.419404035,456.048455389,5.66466996096,8.7062786848
 03/08  05:00:00,927.815855436,94.7511820199,469.588977122,0.0,100.150657288,148.969399434,462.353419656,439.29868982,5.66466996096,17.3900598757
 03/08  06:00:00,940.053746624,95.1484373824,480.148328165,0.0,100.150657288,149.894399434,662.943430785,640.075358641,14.1616749024,8.70639724158
 03/08  07:00:00,1168.0276194,96.7795509021,484.997252188,0.0,176.471037341,302.612436532,512.459938506,466.744870388,28.3233498048,17.3917183136
 03/08  08:00:00,1289.34325596,98.415384342,488.151425724,0.0,243.2593065,310.10971186,483.949677712,423.923203354,42.4850247072,17.5414496504
 03/08  09:00:00,1335.83026438,99.0618647108,491.629282233,0.0,243.2593065,310.10971186,487.503975517,404.433255746,56.6466996096,26.4240201611
 03/08  10:00:00,1374.17643947,99.6103263426,495.177095474,0.0,243.2593065,302.612436532,467.567599981,389.728729563,42.4850247072,35.3538457104
 03/08  11:00:00,1386.04915938,100.180399466,498.133762782,0.0,243.2593065,310.10971186,475.421429137,369.075092244,70.808374512,35.5379623815
 03/08  12:00:00,1389.82540923,100.41441829,500.240328252,0.0,243.2593065,310.10971186,476.911065167,370.495493111,70.808374512,35.6071975443
 03/08  13:00:00,1347.79224572,101.488285318,498.232762513,0.0,243.2593065,310.10971186,458.616044765,352.374678914,70.808374512,35.4329913394
 03/08  14:00:00,1362.74028065,102.302615906,477.225736444,0.0,243.2593065,302.612436532,429.99000576,337.735181972,56.6466996096,35.6081241787
 03/08  15:00:00,1357.98638861,102.863095657,471.059754747,0.0,243.2593065,302.612436532,405.717810382,327.682520676,42.4850247072,35.5502649987
 03/08  16:00:00,1366.96276995,103.561634256,480.010864437,0.0,243.2593065,302.612436532,411.469091274,319.336514503,56.6466996096,35.4858771616
