Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 08/06  24:00:00,52.3679222584,6.81738193346,14.9848039938,0.0,12.925468867,10.100111941,0.02,0.0,0.0,0.02
 08/07  01:00:00,46.7572689277,6.58716329069,12.4843033073,0.0,10.0992000411,10.047477231,5.75365765961,0.0,0.0,5.75365765961
 08/07  02:00:00,43.4316896471,6.43026156446,11.1751922918,0.0,8.25718729233,10.0299323277,0.02,0.0,0.0,0.02
 08/07  03:00:00,42.0294388146,6.29275095328,9.91044386361,0.0,8.25718729233,10.0299323277,5.75377376063,0.0,0.0,5.75377376063
 08/07  04:00:00,41.853916241,6.12766024176,8.2934857708,0.0,8.25718729233,11.6354268332,0.217760737603,0.197760737603,0.0,0.02
 08/07  05:00:00,49.2249069215,6.10891835737,8.10376578616,0.0,12.1011305571,15.3678112995,6.01167210935,0.240866040564,0.0,5.77080606878
 08/07  06:00:00,77.3022419241,6.62859754694,11.7854998983,0.0,19.7275818095,37.2640762949,11.6463456389,0.0824086263162,0.0,11.5639370126
 08/07  07:00:00,98.9457268244,7.12199191533,16.2157673641,0.0,24.3117294858,51.2795993405,11.5997722044,0.0,0.0,11.5997722044
 08/07  08:00:00,90.8633527607,6.78124256476,19.7488176563,0.0,23.6694662846,40.6342015617,23.3935470173,0.0,0.0,23.3935470173
 08/07  09:00:00,90.1851621052,6.83303104395,24.0259398281,0.0,23.6694662846,35.6302164847,35.5320715395,0.0,18.025,17.5070715395
 08/07  10:00:00,73.9707853584,6.73525618118,25.5058894564,0.0,18.7433767983,22.9618409725,41.3288632083,0.0,18.025,23.3038632083
 08/07  11:00:00,77.9607417912,6.96029680175,29.2728833215,0.0,18.7433767983,22.9618409725,29.669198414,0.0,18.025,11.644198414
 08/07  12:00:00,82.1448710115,7.22888071657,33.1449802661,0.0,18.5889407304,23.1597249699,35.479217196,0.0,18.025,17.454217196
 08/07  13:00:00,85.6332920444,7.46629601172,36.149483836,0.0,18.7433767983,23.2517909448,35.4779445625,0.0,18.025,17.4529445625
 08/07  14:00:00,88.6617887796,7.66583226669,38.9784440066,0.0,18.7433767983,23.2517909448,35.4778532005,0.0,18.025,17.4528532005
 08/07  15:00:00,91.6371906438,7.88722825595,42.0224015692,0.0,18.7433767983,22.9618409725,35.4789132146,0.0,18.025,17.4539132146
 08/07  16:00:00,97.8946102744,8.09403722265,43.6217124045,0.0,18.7433767983,27.431320555,23.7829336048,0.0,18.025,5.75793360479
 08/07  17:00:00,111.535918364,8.48449191125,44.6844867555,0.0,17.6635504202,40.6971502883,5.76653299574,0.0,0.0,5.76653299574
 08/07  18:00:00,118.985136245,8.74476797421,45.3690241046,0.0,27.5259009287,37.3340067412,5.78820740127,0.0,0.0,5.78820740127
 08/07  19:00:00,118.347579433,8.73709191603,42.4135892778,0.0,33.8341110165,33.3544677425,5.77488039129,0.0,0.0,5.77488039129
