Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  21:00:00,367.285441736,70.2873875409,0.0,0.0,220.879908,53.238744,509.732929994,496.231340641,4.83426,8.66732935304
 01/02  22:00:00,117.896928725,0.0,0.0,0.0,43.513341876,52.539744,13.5013596783,0.0,4.83426,8.6670996783
 01/02  23:00:00,117.647415764,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/02  24:00:00,118.637323484,0.0,0.0,0.0,43.513341876,52.539744,13.4624615561,0.0,4.83426,8.62820155611
 01/03  01:00:00,117.692723042,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  02:00:00,117.682197658,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  03:00:00,117.671610279,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  04:00:00,117.662912064,0.0,0.0,0.0,43.513341876,52.539744,13.4505517713,0.0,4.83426,8.61629177126
 01/03  05:00:00,119.782469275,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  06:00:00,119.439855547,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  07:00:00,190.653748374,70.2873875409,0.0,0.0,43.513341876,53.238744,1176.08313869,1171.22887869,4.83426,0.02
 01/03  08:00:00,355.472350407,70.2873875409,0.0,0.0,220.879908,53.238744,1019.09507289,988.018892074,4.83426,26.2419208198
 01/03  09:00:00,441.856877847,70.2873875409,0.00162937055465,0.0,220.879908,145.652643033,828.541576657,765.887619762,36.25695,26.3970068947
 01/03  10:00:00,441.909293726,70.2873875409,0.0,0.0,220.879908,145.652643033,777.345893584,705.574872688,36.25695,35.514070896
 01/03  11:00:00,447.931870983,70.2873875409,0.00146864393066,0.0,220.879908,151.653867033,754.817581871,670.921082566,48.3426,35.5538993054
 01/03  12:00:00,448.878330717,70.2873875409,0.0,0.0,220.879908,151.653867033,706.053472029,622.038144134,48.3426,35.6727278943
 01/03  13:00:00,447.939629401,70.2873875409,0.0,0.0,220.879908,151.653867033,707.176752083,614.138565721,48.3426,44.6955863625
 01/03  14:00:00,441.973810798,70.2873875409,0.0,0.0,220.879908,145.652643033,707.114390306,638.181336396,24.1713,44.76175391
 01/03  15:00:00,441.962742782,70.2873875409,0.0,0.0,220.879908,145.652643033,694.857154599,635.152296954,24.1713,35.5335576443
 01/03  16:00:00,434.101533911,70.2873875409,0.0,0.0,220.879908,137.835547516,610.033902927,569.617718388,4.83426,35.5819245392
 01/03  17:00:00,432.03664581,70.2873875409,0.0,0.0,220.879908,133.019064,490.007160408,458.667098505,4.83426,26.5058019035
 01/03  18:00:00,367.191315746,70.2873875409,0.0,0.0,220.879908,53.238744,593.416921236,553.251254066,4.83426,35.3314071703
 01/03  19:00:00,367.198442409,70.2873875409,0.0,0.0,220.879908,53.238744,602.835147224,562.554867687,4.83426,35.4460195369
 01/03  20:00:00,367.172822237,70.2873875409,0.0,0.0,220.879908,53.238744,583.205257938,569.694277998,4.83426,8.67671994014
 01/03  21:00:00,367.172586026,70.2873875409,0.0,0.0,220.879908,53.238744,593.577542697,580.075781918,4.83426,8.66750077894
 01/03  22:00:00,117.567461465,0.0,0.0,0.0,43.513341876,52.539744,13.5015365304,0.0,4.83426,8.66727653041
 01/03  23:00:00,117.644774309,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/03  24:00:00,118.645706626,0.0,0.0,0.0,43.513341876,52.539744,13.4624613533,0.0,4.83426,8.62820135334
 01/04  01:00:00,117.696106098,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  02:00:00,117.693639107,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  03:00:00,117.688563004,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  04:00:00,117.675957615,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  05:00:00,118.094232875,0.0,0.0,0.0,43.513341876,52.539744,13.4507179073,0.0,4.83426,8.61645790726
 01/04  06:00:00,118.062339319,0.0,0.0,0.0,43.513341876,52.539744,4.85426,0.0,4.83426,0.02
 01/04  07:00:00,189.901479378,70.2873875409,0.0,0.0,43.513341876,53.238744,1100.58497742,1095.73071742,4.83426,0.02
 01/04  08:00:00,355.450344866,70.2873875409,0.0,0.0,220.879908,53.238744,981.074781608,958.738675695,4.83426,17.5018459135
 01/04  09:00:00,441.866508697,70.2873875409,0.00165590356065,0.0,220.879908,145.652643033,796.074680022,733.414454209,36.25695,26.4032758136
